id,date,store_nbr,family,sales,onpromotion
24,2013-01-01,1.0,MEATS,0.0,0.0
57,2013-01-01,10.0,MEATS,0.0,0.0
90,2013-01-01,11.0,MEATS,0.0,0.0
123,2013-01-01,12.0,MEATS,0.0,0.0
156,2013-01-01,13.0,MEATS,0.0,0.0
189,2013-01-01,14.0,MEATS,0.0,0.0
222,2013-01-01,15.0,MEATS,0.0,0.0
255,2013-01-01,16.0,MEATS,0.0,0.0
288,2013-01-01,17.0,MEATS,0.0,0.0
321,2013-01-01,18.0,MEATS,0.0,0.0
354,2013-01-01,19.0,MEATS,0.0,0.0
387,2013-01-01,2.0,MEATS,0.0,0.0
420,2013-01-01,20.0,MEATS,0.0,0.0
453,2013-01-01,21.0,MEATS,0.0,0.0
486,2013-01-01,22.0,MEATS,0.0,0.0
519,2013-01-01,23.0,MEATS,0.0,0.0
552,2013-01-01,24.0,MEATS,0.0,0.0
585,2013-01-01,25.0,MEATS,110.801,0.0
618,2013-01-01,26.0,MEATS,0.0,0.0
651,2013-01-01,27.0,MEATS,0.0,0.0
684,2013-01-01,28.0,MEATS,0.0,0.0
717,2013-01-01,29.0,MEATS,0.0,0.0
750,2013-01-01,3.0,MEATS,0.0,0.0
783,2013-01-01,30.0,MEATS,0.0,0.0
816,2013-01-01,31.0,MEATS,0.0,0.0
849,2013-01-01,32.0,MEATS,0.0,0.0
882,2013-01-01,33.0,MEATS,0.0,0.0
915,2013-01-01,34.0,MEATS,0.0,0.0
948,2013-01-01,35.0,MEATS,0.0,0.0
981,2013-01-01,36.0,MEATS,0.0,0.0
1014,2013-01-01,37.0,MEATS,0.0,0.0
1047,2013-01-01,38.0,MEATS,0.0,0.0
1080,2013-01-01,39.0,MEATS,0.0,0.0
1113,2013-01-01,4.0,MEATS,0.0,0.0
1146,2013-01-01,40.0,MEATS,0.0,0.0
1179,2013-01-01,41.0,MEATS,0.0,0.0
1212,2013-01-01,42.0,MEATS,0.0,0.0
1245,2013-01-01,43.0,MEATS,0.0,0.0
1278,2013-01-01,44.0,MEATS,0.0,0.0
1311,2013-01-01,45.0,MEATS,0.0,0.0
1344,2013-01-01,46.0,MEATS,0.0,0.0
1377,2013-01-01,47.0,MEATS,0.0,0.0
1410,2013-01-01,48.0,MEATS,0.0,0.0
1443,2013-01-01,49.0,MEATS,0.0,0.0
1476,2013-01-01,5.0,MEATS,0.0,0.0
1509,2013-01-01,50.0,MEATS,0.0,0.0
1542,2013-01-01,51.0,MEATS,0.0,0.0
1575,2013-01-01,52.0,MEATS,0.0,0.0
1608,2013-01-01,53.0,MEATS,0.0,0.0
1641,2013-01-01,54.0,MEATS,0.0,0.0
1674,2013-01-01,6.0,MEATS,0.0,0.0
1707,2013-01-01,7.0,MEATS,0.0,0.0
1740,2013-01-01,8.0,MEATS,0.0,0.0
1773,2013-01-01,9.0,MEATS,0.0,0.0
1806,2013-01-02,1.0,MEATS,369.101,0.0
1839,2013-01-02,10.0,MEATS,291.14,0.0
1872,2013-01-02,11.0,MEATS,832.541,0.0
1905,2013-01-02,12.0,MEATS,232.349,0.0
1938,2013-01-02,13.0,MEATS,137.91,0.0
1971,2013-01-02,14.0,MEATS,368.732,0.0
2004,2013-01-02,15.0,MEATS,84.805,0.0
2037,2013-01-02,16.0,MEATS,12.584,0.0
2070,2013-01-02,17.0,MEATS,226.374,0.0
2103,2013-01-02,18.0,MEATS,117.167,0.0
2136,2013-01-02,19.0,MEATS,153.44101,0.0
2169,2013-01-02,2.0,MEATS,655.626,0.0
2202,2013-01-02,20.0,MEATS,0.0,0.0
2235,2013-01-02,21.0,MEATS,0.0,0.0
2268,2013-01-02,22.0,MEATS,0.0,0.0
2301,2013-01-02,23.0,MEATS,517.363,0.0
2334,2013-01-02,24.0,MEATS,453.601,0.0
2367,2013-01-02,25.0,MEATS,244.703,0.0
2400,2013-01-02,26.0,MEATS,381.225,0.0
2433,2013-01-02,27.0,MEATS,214.951,0.0
2466,2013-01-02,28.0,MEATS,45.007,0.0
2499,2013-01-02,29.0,MEATS,0.0,0.0
2532,2013-01-02,3.0,MEATS,945.636,0.0
2565,2013-01-02,30.0,MEATS,55.99,0.0
2598,2013-01-02,31.0,MEATS,91.72,0.0
2631,2013-01-02,32.0,MEATS,73.95,0.0
2664,2013-01-02,33.0,MEATS,58.864998,0.0
2697,2013-01-02,34.0,MEATS,113.802,0.0
2730,2013-01-02,35.0,MEATS,27.923,0.0
2763,2013-01-02,36.0,MEATS,0.0,0.0
2796,2013-01-02,37.0,MEATS,381.245,0.0
2829,2013-01-02,38.0,MEATS,291.152,0.0
2862,2013-01-02,39.0,MEATS,141.338,0.0
2895,2013-01-02,4.0,MEATS,494.204,0.0
2928,2013-01-02,40.0,MEATS,72.568,0.0
2961,2013-01-02,41.0,MEATS,158.544,0.0
2994,2013-01-02,42.0,MEATS,0.0,0.0
3027,2013-01-02,43.0,MEATS,57.174,0.0
3060,2013-01-02,44.0,MEATS,1072.927,0.0
3093,2013-01-02,45.0,MEATS,1640.979,0.0
3126,2013-01-02,46.0,MEATS,1966.993,0.0
3159,2013-01-02,47.0,MEATS,1143.33,0.0
3192,2013-01-02,48.0,MEATS,1757.04,0.0
3225,2013-01-02,49.0,MEATS,732.115,0.0
3258,2013-01-02,5.0,MEATS,455.39902,0.0
3291,2013-01-02,50.0,MEATS,875.581,0.0
3324,2013-01-02,51.0,MEATS,757.924,0.0
3357,2013-01-02,52.0,MEATS,0.0,0.0
3390,2013-01-02,53.0,MEATS,0.0,0.0
3423,2013-01-02,54.0,MEATS,73.771,0.0
3456,2013-01-02,6.0,MEATS,612.151,0.0
3489,2013-01-02,7.0,MEATS,475.592,0.0
3522,2013-01-02,8.0,MEATS,630.4,0.0
3555,2013-01-02,9.0,MEATS,374.531,0.0
3588,2013-01-03,1.0,MEATS,272.319,0.0
3621,2013-01-03,10.0,MEATS,279.74298,0.0
3654,2013-01-03,11.0,MEATS,677.96204,0.0
3687,2013-01-03,12.0,MEATS,180.388,0.0
3720,2013-01-03,13.0,MEATS,86.622,0.0
3753,2013-01-03,14.0,MEATS,413.152,0.0
3786,2013-01-03,15.0,MEATS,151.772,0.0
3819,2013-01-03,16.0,MEATS,82.96,0.0
3852,2013-01-03,17.0,MEATS,119.441,0.0
3885,2013-01-03,18.0,MEATS,139.119,0.0
3918,2013-01-03,19.0,MEATS,112.275,0.0
3951,2013-01-03,2.0,MEATS,597.745,0.0
3984,2013-01-03,20.0,MEATS,0.0,0.0
4017,2013-01-03,21.0,MEATS,0.0,0.0
4050,2013-01-03,22.0,MEATS,0.0,0.0
4083,2013-01-03,23.0,MEATS,383.157,0.0
4116,2013-01-03,24.0,MEATS,443.188,0.0
4149,2013-01-03,25.0,MEATS,392.49802,0.0
4182,2013-01-03,26.0,MEATS,237.145,0.0
4215,2013-01-03,27.0,MEATS,147.005,0.0
4248,2013-01-03,28.0,MEATS,88.628,0.0
4281,2013-01-03,29.0,MEATS,0.0,0.0
4314,2013-01-03,3.0,MEATS,700.47003,0.0
4347,2013-01-03,30.0,MEATS,47.231003,0.0
4380,2013-01-03,31.0,MEATS,160.608,0.0
4413,2013-01-03,32.0,MEATS,76.955,0.0
4446,2013-01-03,33.0,MEATS,239.868,0.0
4479,2013-01-03,34.0,MEATS,218.637,0.0
4512,2013-01-03,35.0,MEATS,102.221,0.0
4545,2013-01-03,36.0,MEATS,0.0,0.0
4578,2013-01-03,37.0,MEATS,292.87,0.0
4611,2013-01-03,38.0,MEATS,214.364,0.0
4644,2013-01-03,39.0,MEATS,200.026,0.0
4677,2013-01-03,4.0,MEATS,373.155,0.0
4710,2013-01-03,40.0,MEATS,63.044,0.0
4743,2013-01-03,41.0,MEATS,136.783,0.0
4776,2013-01-03,42.0,MEATS,0.0,0.0
4809,2013-01-03,43.0,MEATS,71.697,0.0
4842,2013-01-03,44.0,MEATS,906.065,0.0
4875,2013-01-03,45.0,MEATS,1062.36,0.0
4908,2013-01-03,46.0,MEATS,1103.646,0.0
4941,2013-01-03,47.0,MEATS,798.486,0.0
4974,2013-01-03,48.0,MEATS,787.153,0.0
5007,2013-01-03,49.0,MEATS,487.864,0.0
5040,2013-01-03,5.0,MEATS,352.642,0.0
5073,2013-01-03,50.0,MEATS,845.97504,0.0
5106,2013-01-03,51.0,MEATS,594.061,0.0
5139,2013-01-03,52.0,MEATS,0.0,0.0
5172,2013-01-03,53.0,MEATS,0.0,0.0
5205,2013-01-03,54.0,MEATS,50.257,0.0
5238,2013-01-03,6.0,MEATS,442.535,0.0
5271,2013-01-03,7.0,MEATS,508.132,0.0
5304,2013-01-03,8.0,MEATS,554.311,0.0
5337,2013-01-03,9.0,MEATS,400.863,0.0
5370,2013-01-04,1.0,MEATS,454.172,0.0
5403,2013-01-04,10.0,MEATS,139.166,0.0
5436,2013-01-04,11.0,MEATS,711.788,0.0
5469,2013-01-04,12.0,MEATS,126.006004,0.0
5502,2013-01-04,13.0,MEATS,142.819,0.0
5535,2013-01-04,14.0,MEATS,410.886,0.0
5568,2013-01-04,15.0,MEATS,142.36299,0.0
5601,2013-01-04,16.0,MEATS,13.625,0.0
5634,2013-01-04,17.0,MEATS,273.56,0.0
5667,2013-01-04,18.0,MEATS,26.728,0.0
5700,2013-01-04,19.0,MEATS,43.993,0.0
5733,2013-01-04,2.0,MEATS,689.216,0.0
5766,2013-01-04,20.0,MEATS,0.0,0.0
5799,2013-01-04,21.0,MEATS,0.0,0.0
5832,2013-01-04,22.0,MEATS,0.0,0.0
5865,2013-01-04,23.0,MEATS,493.008,0.0
5898,2013-01-04,24.0,MEATS,622.234,0.0
5931,2013-01-04,25.0,MEATS,229.939,0.0
5964,2013-01-04,26.0,MEATS,212.228,0.0
5997,2013-01-04,27.0,MEATS,149.359,0.0
6030,2013-01-04,28.0,MEATS,84.823,0.0
6063,2013-01-04,29.0,MEATS,0.0,0.0
6096,2013-01-04,3.0,MEATS,916.485,0.0
6129,2013-01-04,30.0,MEATS,25.279001,0.0
6162,2013-01-04,31.0,MEATS,221.617,0.0
6195,2013-01-04,32.0,MEATS,64.368,0.0
6228,2013-01-04,33.0,MEATS,157.535,0.0
6261,2013-01-04,34.0,MEATS,177.909,0.0
6294,2013-01-04,35.0,MEATS,98.626,0.0
6327,2013-01-04,36.0,MEATS,0.0,0.0
6360,2013-01-04,37.0,MEATS,363.978,0.0
6393,2013-01-04,38.0,MEATS,243.566,0.0
6426,2013-01-04,39.0,MEATS,109.944,0.0
6459,2013-01-04,4.0,MEATS,438.688,0.0
6492,2013-01-04,40.0,MEATS,43.874,0.0
6525,2013-01-04,41.0,MEATS,131.817,0.0
6558,2013-01-04,42.0,MEATS,0.0,0.0
6591,2013-01-04,43.0,MEATS,143.285,0.0
6624,2013-01-04,44.0,MEATS,1615.349,0.0
6657,2013-01-04,45.0,MEATS,1461.369,0.0
6690,2013-01-04,46.0,MEATS,1751.5441,0.0
6723,2013-01-04,47.0,MEATS,1144.055,0.0
6756,2013-01-04,48.0,MEATS,2279.973,0.0
6789,2013-01-04,49.0,MEATS,634.652,0.0
6822,2013-01-04,5.0,MEATS,407.364,0.0
6855,2013-01-04,50.0,MEATS,725.893,0.0
6888,2013-01-04,51.0,MEATS,776.333,0.0
6921,2013-01-04,52.0,MEATS,0.0,0.0
6954,2013-01-04,53.0,MEATS,0.0,0.0
6987,2013-01-04,54.0,MEATS,40.223,0.0
7020,2013-01-04,6.0,MEATS,727.92596,0.0
7053,2013-01-04,7.0,MEATS,477.186,0.0
