id,date,store_nbr,family,sales,onpromotion
11,2013-01-01,1.0,FROZEN FOODS,0.0,0.0
44,2013-01-01,10.0,FROZEN FOODS,0.0,0.0
77,2013-01-01,11.0,FROZEN FOODS,0.0,0.0
110,2013-01-01,12.0,FROZEN FOODS,0.0,0.0
143,2013-01-01,13.0,FROZEN FOODS,0.0,0.0
176,2013-01-01,14.0,FROZEN FOODS,0.0,0.0
209,2013-01-01,15.0,FROZEN FOODS,0.0,0.0
242,2013-01-01,16.0,FROZEN FOODS,0.0,0.0
275,2013-01-01,17.0,FROZEN FOODS,0.0,0.0
308,2013-01-01,18.0,FROZEN FOODS,0.0,0.0
341,2013-01-01,19.0,FROZEN FOODS,0.0,0.0
374,2013-01-01,2.0,FROZEN FOODS,0.0,0.0
407,2013-01-01,20.0,FROZEN FOODS,0.0,0.0
440,2013-01-01,21.0,FROZEN FOODS,0.0,0.0
473,2013-01-01,22.0,FROZEN FOODS,0.0,0.0
506,2013-01-01,23.0,FROZEN FOODS,0.0,0.0
539,2013-01-01,24.0,FROZEN FOODS,0.0,0.0
572,2013-01-01,25.0,FROZEN FOODS,29.654999,0.0
605,2013-01-01,26.0,FROZEN FOODS,0.0,0.0
638,2013-01-01,27.0,FROZEN FOODS,0.0,0.0
671,2013-01-01,28.0,FROZEN FOODS,0.0,0.0
704,2013-01-01,29.0,FROZEN FOODS,0.0,0.0
737,2013-01-01,3.0,FROZEN FOODS,0.0,0.0
770,2013-01-01,30.0,FROZEN FOODS,0.0,0.0
803,2013-01-01,31.0,FROZEN FOODS,0.0,0.0
836,2013-01-01,32.0,FROZEN FOODS,0.0,0.0
869,2013-01-01,33.0,FROZEN FOODS,0.0,0.0
902,2013-01-01,34.0,FROZEN FOODS,0.0,0.0
935,2013-01-01,35.0,FROZEN FOODS,0.0,0.0
968,2013-01-01,36.0,FROZEN FOODS,0.0,0.0
1001,2013-01-01,37.0,FROZEN FOODS,0.0,0.0
1034,2013-01-01,38.0,FROZEN FOODS,0.0,0.0
1067,2013-01-01,39.0,FROZEN FOODS,0.0,0.0
